op_name,dtype,M,K,N,time_ms,flops,bytes
cudagraph_matmul,float16,2,512,2048,0.015807,4194304,2107392
cudagraph_matmul,float16,2,512,1024,0.015913,2097152,1054720
cudagraph_matmul,float16,2,512,512,0.015850,1048576,528384
cudagraph_matmul,float16,1,8192,8192,0.204905,134217728,134250496
cudagraph_matmul,float16,1,8192,4096,0.104453,67108864,67133440
cudagraph_matmul,float16,1,8192,2048,0.059794,33554432,33574912
cudagraph_matmul,float16,1,8192,1024,0.039731,16777216,16795648
cudagraph_matmul,float16,1,8192,512,0.022664,8388608,8406016
cudagraph_matmul,float16,1,4096,8192,0.111244,67108864,67133440
cudagraph_matmul,float16,1,4096,4096,0.056414,33554432,33570816
cudagraph_matmul,float16,1,4096,2048,0.034256,16777216,16789504
cudagraph_matmul,float16,1,4096,1024,0.025952,8388608,8398848
cudagraph_matmul,float16,1,4096,512,0.016002,4194304,4203520
cudagraph_matmul,float16,1,2048,8192,0.065163,33554432,33574912
cudagraph_matmul,float16,1,2048,4096,0.032981,16777216,16789504
cudagraph_matmul,float16,1,2048,2048,0.027252,8388608,8396800
cudagraph_matmul,float16,1,2048,1024,0.018219,4194304,4200448
cudagraph_matmul,float16,1,2048,512,0.015742,2097152,2102272
cudagraph_matmul,float16,1,1024,8192,0.032180,16777216,16795648
cudagraph_matmul,float16,1,1024,4096,0.025015,8388608,8398848
cudagraph_matmul,float16,1,1024,2048,0.017789,4194304,4200448
cudagraph_matmul,float16,1,1024,1024,0.015854,2097152,2101248
cudagraph_matmul,float16,1,1024,512,0.016283,1048576,1051648
cudagraph_matmul,float16,1,512,8192,0.019924,8388608,8406016
cudagraph_matmul,float16,1,512,4096,0.016288,4194304,4203520
cudagraph_matmul,float16,1,512,2048,0.016096,2097152,2102272
cudagraph_matmul,float16,1,512,1024,0.015847,1048576,1051648
cudagraph_matmul,float16,1,512,512,0.015799,524288,526336
cudagraph_matmul,bfloat16,32768,8192,8192,73.681643,4398046511104,1207959552
